agg,z,seed,ap
trimmed,2.0,5,0.2748038727668963
trimmed,3.0,5,0.20913282834523922
krum,0.0,5,0.36604678023173026
krum,0.5,5,0.28780045614680166
krum,1.0,5,0.18013827222393983
krum,1.5,5,0.15680133089740536
krum,2.0,5,0.17219126635938806
krum,3.0,5,0.20203000721636635
fedavg,0.0,6,0.26379325901102785
fedavg,0.5,6,0.24115792525968482
fedavg,1.0,6,0.2257854093150896
fedavg,1.5,6,0.2129626641338948
fedavg,2.0,6,0.20588403021881388
fedavg,3.0,6,0.20008380218853986
trimmed,0.0,6,0.2449072345149915
trimmed,0.5,6,0.21739411280999155
trimmed,1.0,6,0.19901381640235094
trimmed,1.5,6,0.19985731008841262
trimmed,2.0,6,0.19753164274477253
trimmed,3.0,6,0.19350763722297926
krum,0.0,6,0.1653614666033933
krum,0.5,6,0.20588403021881388
krum,1.0,6,0.21089026830936833
krum,1.5,6,0.2149366326677653
krum,2.0,6,0.16155104661848277
krum,3.0,6,0.1396438087761816
fedavg,0.0,7,0.6591148968372925
fedavg,0.5,7,0.6164574217861347
fedavg,1.0,7,0.5747646582217345
fedavg,1.5,7,0.535906416436553
fedavg,2.0,7,0.504286081473287
fedavg,3.0,7,0.46552048333307766
trimmed,0.0,7,0.6729867457858624
trimmed,0.5,7,0.6158011684004471
trimmed,1.0,7,0.559143310554174
trimmed,1.5,7,0.5138306303351492
trimmed,2.0,7,0.49318626253374537
trimmed,3.0,7,0.4704188293490721
krum,0.0,7,0.6591148968372925
krum,0.5,7,0.4962272635774473
krum,1.0,7,0.4507757703014753
krum,1.5,7,0.3847919435273059
krum,2.0,7,0.5285188331035197
krum,3.0,7,0.5518918877578736
fedavg,0.0,8,0.3993245997296029
fedavg,0.5,8,0.37799210849101267
fedavg,1.0,8,0.36275316027713356
fedavg,1.5,8,0.35398454773880117
fedavg,2.0,8,0.3482649311026364
fedavg,3.0,8,0.34128532585967586
trimmed,0.0,8,0.378923958903551
trimmed,0.5,8,0.36161077408792175
trimmed,1.0,8,0.35290909091675665
trimmed,1.5,8,0.3482227809941321
